traces,real,user,sys,
5,0.108,0.081,0.028,
10,0.120,0.074,0.046,
25,0.120,0.074,0.046,
100,0.155,0.090,0.066,
1000,0.0561,0.350,0.211,
10000,5.090,2.892,2.184,
22290,11.170,6.341,4.278
